Gene,Slope,Pvalue,R2,N,Class
NCF4,NA,NA,NA,16,Unknown
LIF,NA,NA,NA,5,Unknown
TRIOBP,0.06671641202469665,0.7575324808590023,0.002758489199326041,37,NotSignificant
MYO18B,NA,NA,NA,14,Unknown
MICAL3,0.008520889931236163,0.9667985893549056,5.0212069449509294e-5,37,NotSignificant
RTN4R,0.25119765166033087,0.28511626631661324,0.03676067775992301,33,NotSignificant
HMOX1,0.10932934768375652,0.568689402540365,0.009945223451230265,35,NotSignificant
PPIL2,0.27814007323832696,0.12522693642180105,0.06585482282576059,37,NotSignificant
NEFH,0.005475814156581863,0.9769167037847662,2.426424354204043e-5,37,NotSignificant
SEC14L2,0.11690238463538453,0.5749775746641391,0.009626708074172513,35,NotSignificant
PPM1F,0.10438381784607556,0.5670317205333772,0.009451750918246406,37,NotSignificant
TTC28,0.4440856447633497,0.05424597916463064,0.12600594243970886,30,NotSignificant
IGLL1,NA,NA,NA,7,Unknown
LGALS2,NA,NA,NA,9,Unknown
TBX1,NA,NA,NA,3,Unknown
PITPNB,0.29963133380109075,0.10050820284694485,0.07519436543995134,37,NotSignificant
GSTT2,NA,NA,NA,20,Unknown
IGLL5,NA,NA,NA,9,Unknown
IGLC3,NA,NA,NA,6,Unknown
VPREB3,NA,NA,NA,7,Unknown
PDXP,0.27507430671749716,0.15467561973832164,0.05701085080754295,37,NotSignificant
SELENOM,NA,NA,NA,28,Unknown
RTL10,NA,NA,NA,14,Unknown
VPREB1,NA,NA,NA,8,Unknown
INPP5J,NA,NA,NA,2,Unknown
C22orf39,NA,NA,NA,27,Unknown
RANBP1,0.44657328808216534,0.08590170851504635,0.08192508398339887,37,NotSignificant
RAB36,NA,NA,NA,12,Unknown
IL2RB,NA,NA,NA,2,Unknown
TST,0.1993108142384298,0.23420005664862295,0.04018342547161965,37,NotSignificant
CYTH4,NA,NA,NA,3,Unknown
RAC2,-0.48986271663458075,0.024276817474548008,0.13675141185018613,37,Negative
MMP11,NA,NA,NA,4,Unknown
SF3A1,-0.08681864055122274,0.7327793266698313,0.0033729147934682224,37,NotSignificant
SLC5A1,NA,NA,NA,5,Unknown
GNB1L,0.5779645992600176,0.0029268566582864547,0.22623595752600065,37,Positive
C1QTNF6,NA,NA,NA,9,Unknown
SERPIND1,NA,NA,NA,27,Unknown
ADA2,NA,NA,NA,8,Unknown
PIK3IP1,NA,NA,NA,3,Unknown
UQCR10,-0.06430932169989349,0.5299638849883506,0.011367188317101498,37,NotSignificant
CRKL,0.13452710192902387,0.4438786792493088,0.0168466709704027,37,NotSignificant
LGALS1,-0.08380754107991194,0.6235455399851085,0.006957952110109191,37,NotSignificant
CARD10,NA,NA,NA,27,Unknown
NOL12,0.03500869467622023,0.8424007080606855,0.0011450434588366042,37,NotSignificant
KIAA1671,-0.021534367244380827,0.9087136704431806,3.8096522254374253e-4,37,NotSignificant
CSF2RB,NA,NA,NA,0,Unknown
DGCR6L,NA,NA,NA,23,Unknown
PVALB,NA,NA,NA,0,Unknown
HSCB,0.16402774574603796,0.2169795400682713,0.043212317516176116,37,NotSignificant
CDC42EP1,0.1892000169357131,0.3078938515844394,0.029682216509353612,37,NotSignificant
UFD1,-0.16623286349336752,0.34121870817062805,0.025911240133373398,37,NotSignificant
LZTR1,NA,NA,NA,24,Unknown
IFT27,0.11031356523063145,0.6754187301310717,0.005068540542497688,37,NotSignificant
MCM5,0.06215632301928798,0.786895281550472,0.0021159685197837843,37,NotSignificant
UBE2L3,0.3534643637377128,0.19378076755303414,0.04775980072804502,37,NotSignificant
FBXO7,0.1255484955612109,0.4603443343356207,0.015672688268162527,37,NotSignificant
MIF,0.32496584931423667,0.1581779713306685,0.056082270064684185,37,NotSignificant
SLC25A1,-0.023227063558546077,0.9083949946670851,3.8364099972369313e-4,37,NotSignificant
PRR14L,0.2250757694965958,0.20329147255733274,0.04582430303324165,37,NotSignificant
ZNF74,NA,NA,NA,6,Unknown
ZDHHC8,NA,NA,NA,29,Unknown
CECR2,NA,NA,NA,14,Unknown
MRPL40,0.04768993791141168,0.7441297053352409,0.003082731527005734,37,NotSignificant
HIC2,NA,NA,NA,15,Unknown
SDF2L1,0.10379372563391094,0.5756701737084688,0.009038631193388312,37,NotSignificant
DGCR6,NA,NA,NA,2,Unknown
CDC45,0.18763656358646982,0.2891361552489904,0.03736595587096905,32,NotSignificant
MTFP1,0.21568365311515225,0.23797062706246208,0.04609961661603974,32,NotSignificant
ATP6V1E1,-0.12500382743855942,0.4551626609575554,0.016035100067609866,37,NotSignificant
XBP1,NA,NA,NA,6,Unknown
ARVCF,0.25527942142687055,0.11504544312906023,0.06944296934282145,37,NotSignificant
MPST,0.4248889003431751,0.016524576963558246,0.15338135823563417,37,Positive
HIRA,0.2543005793005451,0.17040917211284817,0.05300770990088672,37,NotSignificant
PEX26,NA,NA,NA,19,Unknown
CCDC117,0.6257046338852077,0.01365925723558157,0.1615698047856428,37,Positive
