SegmentID,Gene
seg1,RPS10P30
seg1,OSM
seg1,ZNRF3-IT1
seg1,NCF4
seg1,ACO2P1
seg1,LIF-AS2
seg1,LIF
seg1,TRIOBP
seg1,LINC02556
seg1,YES1P1
seg1,RNA5SP494
seg1,RNU6-1066P
seg1,RN7SKP169
seg1,MIR5739
seg1,RN7SKP214
seg1,IGLCOR22-1
seg1,SLC5A4-AS1
seg1,CPSF1P1
seg1,RFPL3
seg1,IGLCOR22-2
seg1,IGLVIVOR22-2
seg1,RGL4P1
seg1,RN7SL305P
seg1,RPS3AP55
seg1,MIR548J
seg1,CRYBA4
seg1,RPL39P41
seg1,RPS10P29
seg1,SPECC1L-ADORA2A
seg1,ARL5AP4
seg1,ACTR2P1
seg1,CRIP1P4
seg1,MYO18B
seg1,MIR3200
seg1,EIF4HP2
seg1,PPP1R26P4
seg1,E2F6P1
seg1,CELSR1P1
seg1,DGCR11
seg1,RPL28P6
seg1,DNAJA1P6
seg1,MIR3198-1
seg1,MICAL3
seg1,MIR648
seg1,RHEBP3
seg1,ARL2BPP10
seg1,MIR4764
seg1,SNORA50B
seg1,LARGE-IT1
seg1,RN7SKP221
seg1,RN7SL162P
seg1,RPL8P5
seg1,MIR4761
seg1,MIR185
seg1,MIR3618
seg1,MIR1306
seg1,MIR6816
seg1,SNORA77B
seg1,CCDC188
seg1,KRT18P62
seg1,RN7SL168P
seg1,RPL7AP70
seg1,RTN4R
seg1,MIR1286
seg1,PRODHLP
seg1,TXNRD2
seg1,RNU7-167P
seg1,MIR3909
seg1,MIR6069
seg1,HMOX1
seg1,CACNG2
seg1,SLC5A4
seg1,CIMIP4
seg1,CCDC116
seg1,MIR301B
seg1,MIR130B
seg1,PPIL2
seg1,YPEL1
seg1,RN7SL280P
seg1,RNU6-225P
seg1,KLHL12P1
seg1,RNY1P9
seg1,RN7SL812P
seg1,KRT18P5
seg1,GSTT3P
seg1,RNU6-810P
seg1,RNU6-1219P
seg1,SNORD125
seg1,NEFH
seg1,RPEP4
seg1,SEC14L2
seg1,RNU6-564P
seg1,SLC39A1P1
seg1,SDC4P
seg1,SIRPAP1
seg1,PES1-AS1
seg1,RN7SL268P
seg1,KLHL5P1
seg1,TSSK2
seg1,GSC2
seg1,GGTLC5P
seg1,PPP1R26P3
seg1,ATP5PFP2
seg1,RSPH14
seg1,BCRP8
seg1,RN7SL263P
seg1,FBXW4P1
seg1,PHF10P2
seg1,IGLVIVOR22-1
seg1,MIR6817
seg1,MIR649
seg1,TUBA3GP
seg1,MTCO1P20
seg1,MTCO2P20
seg1,MTATP6P20
seg1,MTCO3P20
seg1,MTCYBP34
seg1,MTND1P10
seg1,TERF2IPP1
seg1,CLCP1
seg1,TMEM191C
seg1,CLDN5
seg1,RIMBP3C
seg1,C22orf31
seg1,RNA5SP493
seg1,MPPE1P2
seg1,PPM1F
seg1,IGLVI-70
seg1,IGLV4-69
seg1,IGLVI-68
seg1,IGLV10-54
seg1,IGLV10-67
seg1,IGLVIV-66-1
seg1,IGLVV-66
seg1,IGLVIV-65
seg1,IGLVIV-64
seg1,IGLVI-63
seg1,IGLV1-62
seg1,IGLV8-61
seg1,ABHD17AP5
seg1,IGLV4-60
seg1,SOCS2P2
seg1,IGLVIV-59
seg1,IGLVV-58
seg1,BMP6P1
seg1,IGLV6-57
seg1,IGLVI-56
seg1,IGLV11-55
seg1,IGLVIV-53
seg1,TOP3BP1
seg1,BMS1P20
seg1,IGLV5-52
seg1,IGLV1-51
seg1,IGLV1-50
seg1,ASH2LP3
seg1,IGLV9-49
seg1,IGLV5-48
seg1,IGLV1-47
seg1,ASH2LP2
seg1,IGLV7-46
seg1,IGLV5-45
seg1,IGLV1-44
seg1,IGLV7-43
seg1,IGLVI-42
seg1,IGLVVII-41-1
seg1,IGLV1-41
seg1,IGLV1-40
seg1,ASH2LP1
seg1,IGLVI-38
seg1,IGLV5-37
seg1,IGLV1-36
seg1,ASH2LP4
seg1,IGLV7-35
seg1,TRMT112P8
seg1,MRPS16P3
seg1,APOL5
seg1,NDUFA9P1
seg1,MIR6819
seg1,RPS15AP38
seg1,SEC14L6
seg1,STMN3P1
seg1,CRYBB3
seg1,TTC28
seg1,GSTT4
seg1,BPIFC
seg1,BBLNP2
seg1,PIWIL3
seg1,RFPL2
seg1,TMEM121B
seg1,RPL31P62
seg1,RPL32P5
seg1,FAM32BP
seg1,CECR9
seg1,RN7SL843P
seg1,LINC02557
seg1,IGLL1
seg1,POM121L7P
seg1,E2F6P2
seg1,LRRC74B
seg1,SLC9A3P2
seg1,ABHD17AP4
seg1,E2F6P3
seg1,PPP1R26P5
seg1,LINC01651
seg1,SUSD2P1
seg1,RN7SKP63
seg1,FAM246C
seg1,ZNF280B
seg1,ZNF280A
seg1,PRAME
seg1,IGLV2-34
seg1,IGLV2-33
seg1,IGLV3-32
seg1,IGLV3-31
seg1,IGLV3-30
seg1,BCRP4
seg1,GGTLC2
seg1,IGLV3-29
seg1,IGLV2-28
seg1,IGLV3-27
seg1,IGLV3-26
seg1,IGLVVI-25-1
seg1,IGLV3-25
seg1,IGLV3-24
seg1,IGLV2-23
seg1,IGLVVI-22-1
seg1,IGLV3-22
seg1,IGLV3-21
seg1,IGLVI-20
seg1,IGLV3-19
seg1,IGLV2-18
seg1,IGLV3-17
seg1,IGLV3-16
seg1,IGLV3-15
seg1,IGLV2-14
seg1,RNU6-331P
seg1,SLC35E4
seg1,RPL13AP26
seg1,TUG1
seg1,RN7SL385P
seg1,LGALS2
seg1,RIMBP3B
seg1,TBX1
seg1,CPMER
seg1,PITPNB
seg1,MIR3199-1
seg1,MIR3199-2
seg1,RN7SL757P
seg1,MN1
seg1,GSTT2
seg1,IGLV3-10
seg1,IGLV3-9
seg1,IGLV2-8
seg1,MIR650
seg1,IGLV3-7
seg1,IGLV3-6
seg1,IGLV2-5
seg1,IGLV3-4
seg1,IGLV4-3
seg1,IGLV3-2
seg1,IGLV3-1
seg1,MIR5571
seg1,IGLL5
seg1,IGLJ1
seg1,IGLC1
seg1,IGLJ2
seg1,IGLC2
seg1,IGLJ3
seg1,IGLC3
seg1,IGLJ4
seg1,IGLC4
seg1,IGLC5
seg1,IGLJ6
seg1,IGLC6
seg1,IGLJ7
seg1,IGLC7
seg1,POM121L9P
seg1,BCRP3
seg1,GGT3P
seg1,LRP5L
seg1,P2RX6P
seg1,PRAMENP
seg1,CECR7
